soc,profession,soc_major_title,onet_action,abstain_variant,k_man,n,rate_man
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production Occupations,Replace depleted supply packages with full packages.,without_abstain,2,4,0.5
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Production Occupations,Start metering pumps and observe operation of machines and equipment to ensure continuous flow of filaments extruded through spinnerettes and to detect processing defects.,with_abstain,3,12,0.25
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Production Occupations,Start metering pumps and observe operation of machines and equipment to ensure continuous flow of filaments extruded through spinnerettes and to detect processing defects.,without_abstain,0,4,0.0
51-6092.00,Fabric and Apparel Patternmakers,Production Occupations,"Create a master pattern for each size within a range of garment sizes, using charts, drafting instruments, computers, or grading devices.",with_abstain,3,12,0.25
51-6092.00,Fabric and Apparel Patternmakers,Production Occupations,"Create a master pattern for each size within a range of garment sizes, using charts, drafting instruments, computers, or grading devices.",without_abstain,2,4,0.5
51-6093.00,Upholsterers,Production Occupations,"Examine furniture frames, upholstery, springs, and webbing to locate defects.",with_abstain,0,12,0.0
51-6093.00,Upholsterers,Production Occupations,"Examine furniture frames, upholstery, springs, and webbing to locate defects.",without_abstain,2,4,0.5
51-7011.00,Cabinetmakers and Bench Carpenters,Production Occupations,"Attach parts or subassemblies together to form completed units, using glue, dowels, nails, screws, or clamps.",with_abstain,0,12,0.0
51-7011.00,Cabinetmakers and Bench Carpenters,Production Occupations,"Attach parts or subassemblies together to form completed units, using glue, dowels, nails, screws, or clamps.",without_abstain,2,4,0.5
51-7021.00,Furniture Finishers,Production Occupations,"Distress surfaces with woodworking tools or abrasives before staining to create an antique appearance, or rub surfaces to bring out highlights and shadings.",with_abstain,7,12,0.5833333333333334
51-7021.00,Furniture Finishers,Production Occupations,"Distress surfaces with woodworking tools or abrasives before staining to create an antique appearance, or rub surfaces to bring out highlights and shadings.",without_abstain,3,4,0.75
51-7031.00,"Model Makers, Wood",Production Occupations,"Select wooden stock, determine layouts, and mark layouts of parts on stock, using precision equipment such as scribers, squares, and protractors.",with_abstain,8,12,0.6666666666666666
51-7031.00,"Model Makers, Wood",Production Occupations,"Select wooden stock, determine layouts, and mark layouts of parts on stock, using precision equipment such as scribers, squares, and protractors.",without_abstain,4,4,1.0
51-7032.00,"Patternmakers, Wood",Production Occupations,"Verify dimensions of completed patterns, using templates, straightedges, calipers, or protractors.",with_abstain,6,12,0.5
